student_id,gender,school_type,parent_education,prior_gpa,attendance_pct,quiz_avg,assignment_avg,midterm_score,study_hours_per_week,on_time_submission_pct,lms_logins_per_week,forum_posts,commute_time,final_score,grade_band,at_risk
STU0001,Male,Semi-Government,Post Graduate,6.72,72.87,51.21,75.79,46.94,4.3,69.84,2,2,58.99,92.6,A,0
STU0002,Female,Private,Graduate,7.56,80.08,44.69,80.54,59.73,9.08,69.74,6,3,51.92,100.0,A,0
STU0003,Male,Private,Graduate,8.18,90.44,70.58,73.61,51.13,8.75,89.89,3,2,35.56,100.0,A,0
STU0004,Male,Semi-Government,Post Graduate,6.91,88.08,42.08,60.01,87.28,9.55,78.69,9,3,69.03,100.0,A,0
STU0005,Male,Semi-Government,High School,6.62,57.85,57.54,75.54,67.25,3.89,48.28,8,2,52.46,100.0,A,0
STU0006,Female,Semi-Government,High School,7.18,87.3,47.09,71.86,46.32,1.6,65.51,4,4,26.24,94.89,A,0
STU0007,Male,Private,Graduate,6.0,74.03,74.89,84.04,52.58,10.5,85.22,4,3,7.39,100.0,A,0
STU0008,Male,Semi-Government,High School,9.51,76.09,97.43,81.65,84.42,13.94,82.21,3,3,26.7,100.0,A,0
STU0009,Male,Semi-Government,Graduate,5.07,76.1,41.57,70.46,94.0,3.89,77.24,9,2,43.27,100.0,A,0
STU0010,Female,Government,Post Graduate,7.22,72.75,31.65,56.54,92.57,14.36,90.67,10,1,46.94,100.0,A,0
STU0011,Male,Government,Graduate,9.43,92.88,62.75,60.21,77.14,9.14,64.77,5,7,62.18,100.0,A,0
STU0012,Male,Private,Graduate,7.01,73.74,65.28,61.75,56.95,7.97,75.57,5,1,13.11,100.0,A,0
STU0013,Male,Semi-Government,Post Graduate,6.77,58.21,68.94,65.27,0.0,6.41,4.49,9,0,26.22,85.51,A,0
STU0014,Male,Semi-Government,High School,6.57,69.1,56.97,74.02,67.94,2.46,63.01,2,0,11.45,97.72,A,0
STU0015,Female,Government,Graduate,6.78,77.68,61.39,80.73,61.96,11.95,87.28,5,2,8.22,100.0,A,0
STU0016,Male,Private,Graduate,8.65,93.44,71.62,69.23,64.8,4.9,64.19,5,0,22.44,100.0,A,0
STU0017,Female,Government,Post Graduate,4.35,84.05,83.73,70.24,63.08,4.88,62.68,8,3,42.33,100.0,A,0
STU0018,Female,Government,High School,8.84,62.24,29.81,72.15,35.47,11.97,51.17,6,1,50.43,100.0,A,0
STU0019,Female,Government,Graduate,5.29,100.0,58.36,62.26,73.15,0.47,92.07,6,2,16.03,97.22,A,0
STU0020,Male,Government,Post Graduate,6.68,78.97,68.85,56.12,74.64,1.91,82.97,7,1,18.81,97.92,A,0
STU0021,Female,Semi-Government,Graduate,6.48,94.13,48.48,43.67,75.65,7.93,88.51,5,2,0.0,95.78,A,0
STU0022,Male,Semi-Government,Post Graduate,7.71,72.72,96.16,59.57,80.93,9.17,37.48,5,2,39.29,100.0,A,0
STU0023,Female,Government,High School,5.08,83.0,53.56,77.1,74.08,9.94,68.79,7,4,20.36,100.0,A,0
STU0024,Female,Private,High School,7.55,87.59,64.26,59.46,53.8,6.79,66.4,4,1,68.26,100.0,A,0
STU0025,Female,Private,High School,9.43,93.27,75.01,66.43,60.58,18.12,66.39,4,2,43.2,100.0,A,0
STU0026,Female,Private,High School,5.36,90.86,54.36,77.0,63.82,7.09,59.68,6,2,31.57,97.85,A,0
STU0027,Female,Private,Graduate,7.23,88.08,31.76,77.81,64.15,7.08,65.08,6,3,22.18,100.0,A,0
STU0028,Female,Government,Graduate,6.21,70.27,57.28,53.81,81.96,4.81,88.99,4,0,5.11,100.0,A,0
STU0029,Female,Semi-Government,High School,7.51,66.42,83.53,84.96,74.87,8.5,33.74,3,3,7.64,100.0,A,0
STU0030,Female,Private,High School,7.02,79.99,58.94,86.91,100.0,10.46,100.0,3,3,22.56,100.0,A,0
STU0031,Male,Government,High School,6.23,89.0,49.76,53.05,100.0,12.81,81.68,10,1,21.02,100.0,A,0
STU0032,Male,Private,Graduate,7.59,71.66,81.66,57.64,63.59,2.04,71.15,6,2,15.02,100.0,A,0
STU0033,Female,Private,High School,9.17,90.98,59.05,87.87,0.0,7.02,90.14,6,1,42.54,100.0,A,0
STU0034,Female,Government,High School,6.77,96.79,55.82,67.8,86.74,9.79,42.96,4,0,45.29,100.0,A,0
STU0035,Female,Semi-Government,High School,7.86,61.26,67.69,36.7,51.19,10.35,58.71,1,3,25.83,100.0,A,0
STU0036,Male,Semi-Government,Post Graduate,5.45,62.45,78.87,49.0,45.97,8.03,69.58,5,3,73.7,95.87,A,0
STU0037,Female,Government,High School,5.85,72.89,100.0,66.26,54.03,10.17,99.31,7,0,0.07,100.0,A,0
STU0038,Male,Semi-Government,Post Graduate,7.57,79.61,79.89,52.55,53.07,4.76,71.07,4,2,36.16,100.0,A,0
STU0039,Male,Government,Post Graduate,8.78,67.13,85.88,63.8,74.25,14.23,81.0,3,2,30.63,100.0,A,0
STU0040,Male,Government,High School,7.43,95.28,55.89,70.49,30.81,11.97,60.21,5,5,23.99,100.0,A,0
STU0041,Male,Government,Post Graduate,6.62,81.36,46.53,91.93,40.45,2.62,81.74,7,2,21.05,94.58,A,0
STU0042,Male,Semi-Government,High School,7.0,75.59,66.12,65.64,68.86,3.7,100.0,9,0,34.86,100.0,A,0
STU0043,Female,Government,Graduate,5.5,53.46,66.93,86.09,74.46,3.81,91.91,2,0,30.49,100.0,A,0
STU0044,Female,Private,Graduate,7.73,55.26,45.59,91.43,74.83,10.71,70.37,6,2,27.16,100.0,A,0
STU0045,Female,Semi-Government,Graduate,8.06,79.22,61.84,91.51,46.26,2.86,85.51,2,2,9.03,100.0,A,0
STU0046,Female,Semi-Government,Graduate,6.46,43.01,72.19,74.27,42.43,6.68,83.55,3,2,2.64,99.21,A,0
STU0047,Female,Semi-Government,Post Graduate,6.44,90.19,71.49,40.55,51.87,9.82,82.13,5,3,29.23,98.17,A,0
STU0048,Male,Semi-Government,High School,7.32,72.63,74.08,76.91,66.8,7.74,94.24,3,1,26.96,100.0,A,0
STU0049,Female,Private,High School,6.48,100.0,70.24,85.73,91.71,9.04,94.09,4,1,31.06,100.0,A,0
STU0050,Female,Semi-Government,High School,6.92,100.0,55.87,68.78,21.05,3.74,69.46,5,2,32.83,90.32,A,0
STU0051,Male,Semi-Government,Graduate,9.52,72.28,55.75,96.17,57.59,10.38,84.84,4,1,24.55,100.0,A,0
STU0052,Female,Government,Graduate,6.7,73.4,43.42,82.9,35.35,5.55,64.34,5,2,30.75,95.29,A,0
STU0053,Male,Semi-Government,High School,6.57,89.93,97.13,78.52,28.96,6.7,53.54,2,4,17.93,100.0,A,0
STU0054,Female,Private,Graduate,6.22,100.0,65.24,86.3,81.34,8.95,66.61,4,4,65.48,100.0,A,0
STU0055,Male,Private,High School,7.89,50.43,60.95,75.0,72.89,8.41,70.47,5,1,19.01,100.0,A,0
STU0056,Female,Private,High School,6.78,48.2,48.28,32.61,70.99,8.1,38.77,6,3,27.58,92.94,A,0
STU0057,Female,Private,High School,6.22,65.67,100.0,62.51,80.42,5.0,89.21,10,1,20.52,100.0,A,0
STU0058,Male,Semi-Government,High School,8.59,83.74,45.68,87.96,52.41,6.8,16.65,5,2,20.19,100.0,A,0
STU0059,Male,Semi-Government,High School,8.7,82.45,57.28,57.89,53.35,8.01,100.0,6,2,35.49,100.0,A,0
STU0060,Male,Private,High School,6.28,91.05,72.49,66.65,100.0,2.5,100.0,7,3,32.96,100.0,A,0
STU0061,Male,Private,High School,4.76,57.0,75.8,54.33,57.07,6.15,66.78,4,1,25.81,88.02,A,0
STU0062,Male,Semi-Government,Graduate,8.21,40.26,82.24,96.76,76.7,9.55,72.19,7,2,29.33,100.0,A,0
STU0063,Male,Private,High School,6.18,87.87,97.54,95.22,62.13,2.89,78.06,6,2,20.6,100.0,A,0
STU0064,Male,Government,High School,7.95,62.58,74.11,56.74,25.03,12.63,60.22,2,2,43.03,100.0,A,0
STU0065,Male,Private,Graduate,4.64,44.72,45.99,72.21,21.11,13.08,75.85,3,1,76.1,75.61,B,0
STU0066,Female,Private,Graduate,8.07,77.18,60.37,59.79,50.42,3.02,69.12,4,0,17.5,100.0,A,0
STU0067,Female,Government,Graduate,5.55,86.9,70.54,79.22,83.12,13.43,70.11,4,1,42.88,100.0,A,0
STU0068,Male,Government,High School,7.88,73.17,100.0,77.65,77.77,7.43,75.63,5,2,35.9,100.0,A,0
STU0069,Female,Semi-Government,Post Graduate,7.02,68.13,39.84,82.18,80.28,9.67,45.73,7,1,48.37,100.0,A,0
STU0070,Female,Semi-Government,Post Graduate,5.86,72.61,86.65,74.98,42.26,6.01,72.79,3,3,48.94,100.0,A,0
STU0071,Female,Government,Graduate,6.51,69.44,68.24,100.0,94.32,11.69,75.27,3,1,39.11,100.0,A,0
